# iter, bk, r
0 193.242 0.173883
1 786.928 0.547181
2 41.7723 0.10945
3 11.1564 0.104687
4 0.405506 0.104344
5 0.0397986 0.104484
6 0.0424281 0.104614
7 0.449429 0.0924591
8 0.732474 0.0708751
9 0.551279 0.0107743
10 0.0804305 0.0178575
11 0.175407 0.00516134
12 0.108826 0.00147781
13 0.00703521 0.000615749
14 0.000919072 9.19604e-05
15 3.36004e-06 3.31432e-07
