# iter, bk, r
0 193.242 0.173883
1 3.83411e+07 48.4705
2 9104.14 21.5394
3 6.94643e+06 1248.88
4 2175.04 4.78441
5 491.972 1.0125
6 0.212284 0.0796551
7 0.071177 0.0799427
8 0.071134 0.0799427
9 0.0598632 0.0793406
10 0.166576 0.0779309
11 0.370387 0.072859
12 0.605335 0.0603856
13 0.727264 0.0305116
14 0.351084 0.0116335
15 0.254943 0.00721773
16 0.0194394 0.000959643
17 0.000255664 0.000190148
18 0.000484283 1.86894e-05
19 3.86891e-05 3.6505e-07
20 7.82213e-07 5.57665e-08
