#i, int, err
1 1.89216616 1.77408465
5 3.09986248 0.0784994492
25 3.06296507 0.128649063
125 3.12906963 0.0165197697
625 3.14474179 0.00532325438
3125 3.14199796 0.000433572692
15625 3.14155617 7.75155158e-06
78125 3.14156723 4.38558255e-05
390625 3.14158849 5.67466581e-06
1953125 3.14159369 1.85413273e-06
