#h, i, err
1 1 12.5619
1 2 40.2808
1 3 89.0195
1 4 169.066
1 5 297.312
1 6 500.823
1 7 822.543
1 8 1330.36
1 9 2131.43
1 10 3394.8
0.1 1 0.101457
0.1 2 0.206901
0.1 3 0.318541
0.1 4 0.438371
0.1 5 0.568141
0.1 6 0.709351
0.1 7 0.863262
0.1 8 1.03093
0.1 9 1.21321
0.1 10 1.41083
0.01 1 0.00999985
0.01 2 0.0199997
0.01 3 0.0299997
0.01 4 0.0399998
0.01 5 0.0499999
0.01 6 0.0600003
0.01 7 0.0700008
0.01 8 0.0800014
0.01 9 0.0900024
0.01 10 0.100004
0.001 1 0.001
0.001 2 0.002
0.001 3 0.003
0.001 4 0.004
0.001 5 0.005
0.001 6 0.006
0.001 7 0.007
0.001 8 0.008
0.001 9 0.009
0.001 10 0.01
0.0001 1 0.0001
0.0001 2 0.0002
0.0001 3 0.0003
0.0001 4 0.0004
0.0001 5 0.0005
0.0001 6 0.0006
0.0001 7 0.0007
0.0001 8 0.0008
0.0001 9 0.0009
0.0001 10 0.001
1e-05 1 1e-05
1e-05 2 2e-05
1e-05 3 3e-05
1e-05 4 4e-05
1e-05 5 5e-05
1e-05 6 6e-05
1e-05 7 7e-05
1e-05 8 8e-05
1e-05 9 9e-05
1e-05 10 0.0001
1e-06 1 1e-06
1e-06 2 2e-06
1e-06 3 3e-06
1e-06 4 4e-06
1e-06 5 5e-06
1e-06 6 6e-06
1e-06 7 7e-06
1e-06 8 8e-06
1e-06 9 9e-06
1e-06 10 1e-05
1e-07 1 1e-07
1e-07 2 2e-07
1e-07 3 3e-07
1e-07 4 4e-07
1e-07 5 5e-07
1e-07 6 6e-07
1e-07 7 7e-07
1e-07 8 8e-07
1e-07 9 9e-07
1e-07 10 1e-06
