# iter, bk, r
0 193.242 0.173883
1 84489.2 5.28691
2 7070.99 13.2507
3 6420.21 10.1426
4 6.63057 2.49822
5 1.71718 2.50457
6 103.463 0.946601
7 2720.49 7.63823
8 5.23981 1.12125
9 0.411038 1.12393
10 99.1003 0.337319
11 252.277 1.77734
12 6.25099 0.0381944
13 0.0433372 0.0496952
14 0.218333 0.000511059
15 0.0118435 0.00224629
16 0.000463497 6.3894e-06
17 1.12586e-06 1.97592e-07
