Zeit Energie
12.86666667 1.223340382
12.93333333 1.221088657
13 1.219474678
13.06666667 1.218371354
13.13333333 1.217645249
13.2 1.217159014
13.26666667 1.216773852
13.33333333 1.216351984
13.4 1.215759051
13.46666667 1.214866437
13.53333333 1.213553453
13.6 1.211709354
13.66666667 1.209235153
13.73333333 1.206045206
13.8 1.202068539
13.86666667 1.197249897
13.93333333 1.191550509
14 1.184948542
14.06666667 1.177439259
14.13333333 1.16903487
14.2 1.159764082
14.26666667 1.149671378
14.33333333 1.138816005
14.4 1.127270741
14.46666667 1.115120417
14.53333333 1.102460261
14.6 1.089394073
14.66666667 1.076032277
14.73333333 1.062489879
14.8 1.048884375
14.86666667 1.03533364
14.93333333 1.021953836
15 1.008857385
15.06666667 0.9961510299
15.13333333 0.9839340198
15.2 0.9722964562
15.26666667 0.961317819
15.33333333 0.9510657009
15.4 0.9415947675
15.46666667 0.9329459594
15.53333333 0.925145947
15.6 0.9182068442
15.66666667 0.9121261821
15.73333333 0.9068871412
15.8 0.9024590326
15.86666667 0.898798018
15.93333333 0.8958480521
16 0.8935420275
16.06666667 0.8918030996
16.13333333 0.8905461658
16.2 0.8896794709
16.26666667 0.889106308
16.33333333 0.888726785
16.4 0.8884396233
16.46666667 0.8881439573
16.53333333 0.8877411033
16.6 0.8871362653
16.66666667 0.8862401515
16.73333333 0.8849704704
16.8 0.8832532854
16.86666667 0.8810242029
16.93333333 0.8782293771
17 0.8748263154
17.06666667 0.8707844727
17.13333333 0.8660856277
17.2 0.8607240363
17.26666667 0.8547063636
17.33333333 0.8480513974
17.4 0.8407895524
17.46666667 0.8329621754
17.53333333 0.8246206676
17.6 0.8158254403
17.66666667 0.8066447265
17.73333333 0.7971532701
17.8 0.7874309173
17.86666667 0.7775611373
17.93333333 0.767629498
18 0.7577221258
18.06666667 0.747924175
18.13333333 0.7383183359
18.2 0.7289834044
18.26666667 0.7199929411
18.33333333 0.7114140392
18.4 0.7033062232
18.46666667 0.6957204959
18.53333333 0.688698548
18.6 0.6822721424
18.66666667 0.6764626819
18.73333333 0.6712809654
18.8 0.6667271341
18.86666667 0.6627908066
18.93333333 0.6594513974
19 0.6566786116
19.06666667 0.6544331042
19.13333333 0.6526672898
19.2 0.6513262877
19.26666667 0.6503489825
19.33333333 0.6496691807
19.4 0.6492168419
19.46666667 0.6489193613
19.53333333 0.6487028803
19.6 0.6484936023
19.66666667 0.6482190896
19.73333333 0.6478095195
19.8 0.6471988773
19.86666667 0.6463260669
19.93333333 0.6451359192
20 0.6435800837
