#H 	 m 

-4.72997	-0.9998
-4.72897	-0.9998
-4.72797	-0.9998
-4.72697	-0.9998
-4.72597	-0.9998
-4.72497	-0.9998
-4.72397	-0.9998
-4.72297	-0.9998
-4.72197	-0.9998
-4.72097	-0.9998
-4.71997	-0.9998
-4.71897	-0.9998
-4.71797	-0.9998
-4.71697	-0.9998
-4.71597	-0.9998
-4.71497	-0.9998
-4.71397	-0.9998
-4.71297	-0.9998
-4.71197	-0.9998
-4.71097	-0.9998
-4.70997	-0.9998
-4.70897	-0.9998
-4.70797	-0.9998
-4.70697	-0.9998
-4.70597	-0.9998
-4.70497	-0.9998
-4.70397	-0.9998
-4.70297	-0.9998
-4.70197	-0.9998
-4.70097	-0.9998
-4.69997	-0.9998
-4.69897	-0.9998
-4.69797	-0.9998
-4.69697	-0.9998
-4.69597	-0.9998
-4.69497	-0.9998
-4.69397	-0.9998
-4.69297	-0.9998
-4.69197	-0.9998
-4.69097	-0.9998
-4.68997	-0.9998
-4.68897	-0.9998
-4.68797	-0.9998
-4.68697	-0.9998
-4.68597	-0.9998
-4.68497	-0.9998
-4.68397	-0.9998
-4.68297	-0.9998
-4.68197	-0.9998
-4.68097	-0.9998
-4.67997	-0.9998
-4.67897	-0.9998
-4.67797	-0.9998
-4.67697	-0.9998
-4.67597	-0.9998
-4.67497	-0.9998
-4.67397	-0.9998
-4.67297	-0.9998
-4.67197	-0.9998
-4.67097	-0.9998
-4.66997	-0.9998
-4.66897	-0.9998
-4.66797	-0.9998
-4.66697	-0.9998
-4.66597	-0.9998
-4.66497	-0.9998
-4.66397	-0.9998
-4.66297	-0.9998
-4.66197	-0.9998
-4.66097	-0.9998
-4.65997	-0.9998
-4.65897	-0.9998
-4.65797	-0.9998
-4.65697	-0.9998
-4.65597	-0.9998
-4.65497	-0.9998
-4.65397	-0.9998
-4.65297	-0.9998
-4.65197	-0.9998
-4.65097	-0.9998
-4.64996	-0.9998
-4.64896	-0.9998
-4.64796	-0.9998
-4.64696	-0.9998
-4.64596	-0.9998
-4.64496	-0.9998
-4.64396	-0.9998
-4.64296	-0.99978
-4.64196	-0.99978
-4.64096	-0.99978
-4.63996	-0.99978
-4.63896	-0.99978
-4.63796	-0.99978
-4.63696	-0.99978
-4.63596	-0.99978
-4.63496	-0.99978
-4.63396	-0.99978
-4.63296	-0.99978
-4.63196	-0.99978
-4.63096	-0.99978
-4.62996	-0.99978
-4.62896	-0.99978
-4.62796	-0.99978
-4.62696	-0.99978
-4.62596	-0.99978
-4.62496	-0.99978
-4.62396	-0.99978
-4.62296	-0.99978
-4.62196	-0.99978
-4.62096	-0.99978
-4.61996	-0.99978
-4.61896	-0.99978
-4.61796	-0.99978
-4.61696	-0.99978
-4.61596	-0.99978
-4.61496	-0.99978
-4.61396	-0.99978
-4.61296	-0.99978
-4.61196	-0.99978
-4.61096	-0.99978
-4.60996	-0.99978
-4.60896	-0.99978
-4.60796	-0.99978
-4.60696	-0.99978
-4.60596	-0.99978
-4.60496	-0.99978
-4.60396	-0.99978
-4.60296	-0.99978
-4.60196	-0.99978
-4.60096	-0.99978
-4.59996	-0.99978
-4.59896	-0.99978
-4.59796	-0.99978
-4.59696	-0.99978
-4.59596	-0.99978
-4.59496	-0.99978
-4.59396	-0.99978
-4.59296	-0.99978
-4.59196	-0.99978
-4.59096	-0.99978
-4.58996	-0.99978
-4.58896	-0.99978
-4.58796	-0.99978
-4.58696	-0.99978
-4.58596	-0.99978
-4.58496	-0.99978
-4.58396	-0.99978
-4.58296	-0.99978
-4.58196	-0.99978
-4.58096	-0.99978
-4.57996	-0.99978
-4.57896	-0.99978
-4.57796	-0.99978
-4.57696	-0.99978
-4.57596	-0.99978
-4.57496	-0.99978
-4.57396	-0.99978
-4.57296	-0.99978
-4.57196	-0.99978
-4.57096	-0.99978
-4.56996	-0.99978
-4.56896	-0.99978
-4.56796	-0.99978
-4.56696	-0.99978
-4.56596	-0.99978
-4.56496	-0.99978
-4.56396	-0.99978
-4.56296	-0.99978
-4.56196	-0.99978
-4.56096	-0.99978
-4.55996	-0.99978
-4.55896	-0.99978
-4.55796	-0.99978
-4.55696	-0.99978
-4.55596	-0.99978
-4.55496	-0.99978
