t vsx vsy Ekin Epot T 
0.81 -9.020562075e-17 -2.775557562e-16 15 -7.083766979 1
0.82 -1.249000903e-16 -3.053113318e-16 15 -7.007067738 1
0.83 -4.163336342e-17 -2.775557562e-16 15 -6.836142511 1
0.84 -4.163336342e-17 -3.053113318e-16 15 -6.555536115 1
0.85 -5.551115123e-17 -3.330669074e-16 15 -6.175875329 1
0.86 -8.326672685e-17 -3.330669074e-16 15 -5.730566092 1
0.87 -1.110223025e-16 -3.330669074e-16 15 -5.268016688 1
0.88 -6.938893904e-17 -3.330669074e-16 15 -4.815309002 1
0.89 -6.938893904e-17 -3.60822483e-16 15 -4.39894154 1
0.9 -6.938893904e-17 -3.60822483e-16 15 -4.146943622 1
0.91 -5.551115123e-17 -3.053113318e-16 15 -4.289434511 1
0.92 -4.163336342e-17 -3.053113318e-16 15 -4.91145924 1
0.93 -4.163336342e-17 -3.885780586e-16 15 -5.792185944 1
0.94 -5.551115123e-17 -2.775557562e-16 15 -6.618095398 1
0.95 -5.551115123e-17 -3.053113318e-16 15 -7.229123272 1
0.96 -5.551115123e-17 -2.775557562e-16 15 -7.620172944 1
0.97 -2.775557562e-17 -2.498001805e-16 15 -7.845016397 1
0.98 0 -2.91433544e-16 15 -7.963346533 1
0.99 -1.387778781e-17 -2.498001805e-16 15 -8.020970216 1
1 0 -2.498001805e-16 15 -8.048298743 1
1.01 -1.387778781e-17 -3.191891196e-16 15 -8.064686872 1
1.02 0 -2.775557562e-16 15 -8.077099924 1
1.03 2.775557562e-17 -2.91433544e-16 15 -8.091621912 1
1.04 1.387778781e-17 -2.775557562e-16 15 -8.109294872 1
1.05 1.387778781e-17 -3.053113318e-16 15 -8.126301967 1
1.06 0 -3.053113318e-16 15 -8.137650588 1
1.07 1.387778781e-17 -3.191891196e-16 15 -8.136870595 1
1.08 -1.387778781e-17 -3.469446952e-16 15 -8.117868255 1
1.09 -1.387778781e-17 -3.330669074e-16 15 -8.072275902 1
1.1 -1.387778781e-17 -3.191891196e-16 15 -7.997157749 1
1.11 1.387778781e-17 -3.191891196e-16 15 -7.893413425 1
1.12 -1.387778781e-17 -3.191891196e-16 15 -7.768975999 1
1.13 -2.775557562e-17 -3.053113318e-16 15 -7.639720971 1
1.14 -2.775557562e-17 -3.053113318e-16 15 -7.528063909 1
1.15 -5.551115123e-17 -3.053113318e-16 15 -7.452626161 1
1.16 -1.387778781e-17 -3.885780586e-16 15 -7.419025898 1
1.17 -4.163336342e-17 -2.775557562e-16 15 -7.416286516 1
1.18 -2.775557562e-17 -3.053113318e-16 15 -7.410791324 1
1.19 -2.775557562e-17 -3.330669074e-16 15 -7.391512959 1
1.2 -2.775557562e-17 -3.330669074e-16 15 -7.379212523 1
1.21 0 -3.60822483e-16 15 -7.439803636 1
1.22 -4.163336342e-17 -3.60822483e-16 15 -7.640031736 1
1.23 -1.387778781e-17 -3.330669074e-16 15 -7.986599501 1
1.24 -2.775557562e-17 -2.775557562e-16 15 -8.411637504 1
1.25 -4.163336342e-17 -3.053113318e-16 15 -8.818385131 1
1.26 1.387778781e-17 -2.775557562e-16 15 -9.130916029 1
1.27 -1.387778781e-17 -3.330669074e-16 15 -9.302249761 1
1.28 -5.551115123e-17 -2.498001805e-16 15 -9.300962817 1
1.29 -5.551115123e-17 -2.775557562e-16 15 -9.09838908 1
1.3 -6.938893904e-17 -2.220446049e-16 15 -8.670447034 1
1.31 -2.775557562e-17 -2.081668171e-16 15 -8.038026669 1
1.32 -2.775557562e-17 -3.053113318e-16 15 -7.335998871 1
1.33 -1.387778781e-17 -2.775557562e-16 15 -6.838202226 1
1.34 -1.387778781e-17 -2.844946501e-16 15 -6.785973821 1
1.35 -2.775557562e-17 -2.012279232e-16 15 -7.144718957 1
1.36 1.387778781e-17 -3.001071613e-16 15 -7.645568637 1
1.37 0 -3.070460552e-16 15 -8.066086565 1
1.38 5.551115123e-17 -3.018418848e-16 15 -8.344611693 1
1.39 0 -2.91433544e-16 15 -8.526278391 1
1.4 -2.775557562e-17 -2.87964097e-16 15 -8.68664968 1
1.41 2.081668171e-17 -2.723515857e-16 15 -8.886386632 1
1.42 7.632783294e-17 -2.896988205e-16 15 -9.152903705 1
1.43 2.775557562e-17 -3.660266534e-16 15 -9.47659435 1
1.44 2.775557562e-17 -3.053113318e-16 15 -9.830710554 1
1.45 3.469446952e-17 -2.775557562e-16 15 -10.18395114 1
1.46 6.938893904e-18 -3.226585665e-16 15 -10.51623826 1
1.47 5.898059818e-17 -3.365363543e-16 15 -10.81513166 1
1.48 4.510281038e-17 -3.330669074e-16 15 -11.07642735 1
1.49 6.245004514e-17 -3.60822483e-16 15 -11.29837989 1
1.5 6.938893904e-17 -2.775557562e-16 15 -11.47744109 1
1.51 7.979727989e-17 -2.91433544e-16 15 -11.60481356 1
1.52 5.551115123e-17 -2.567390744e-16 15 -11.66330895 1
1.53 5.204170428e-17 -2.359223927e-16 15 -11.62319724 1
1.54 4.510281038e-17 -2.359223927e-16 15 -11.44387823 1
1.55 4.510281038e-17 -2.289834988e-16 15 -11.07124253 1
1.56 6.245004514e-17 -1.734723476e-16 15 -10.45875427 1
1.57 5.204170428e-17 -2.15105711e-16 15 -9.612393256 1
1.58 8.67361738e-17 -1.873501354e-16 15 -8.643236351 1
1.59 1.214306433e-16 -1.873501354e-16 15 -7.764309897 1
1.6 1.179611964e-16 -2.012279232e-16 15 -7.168755744 1
1.61 1.144917494e-16 -2.081668171e-16 15 -6.874918392 1
1.62 9.714451465e-17 -2.081668171e-16 15 -6.71732058 1
1.63 1.214306433e-16 -2.012279232e-16 15 -6.47724626 1
1.64 1.665334537e-16 -1.804112415e-16 15 -6.110145369 1
