t vsx vsy Ekin Epot T 
0.66 6.245004514e-17 -8.326672685e-17 19.08695782 -6.331860287 1.272463854
0.67 3.469446952e-17 -5.551115123e-17 19.08331713 -6.329239313 1.272221142
0.68 6.938893904e-18 -8.326672685e-17 19.10823161 -6.354358764 1.273882107
0.69 7.632783294e-17 -8.326672685e-17 19.15903441 -6.405494666 1.27726896
0.7 4.857225733e-17 -1.110223025e-16 19.23145035 -6.478327629 1.28209669
0.71 7.632783294e-17 -8.326672685e-17 19.32011967 -6.56747983 1.288007978
0.72 6.245004514e-17 -1.110223025e-16 19.41884376 -6.666778208 1.294589584
0.73 3.469446952e-17 -1.110223025e-16 19.52028226 -6.768962194 1.30135215
0.74 3.469446952e-17 -1.110223025e-16 19.61497777 -6.864711725 1.307665184
0.75 2.081668171e-17 -1.387778781e-16 19.68971219 -6.940994963 1.31264748
0.76 2.775557562e-17 -1.387778781e-16 19.72542656 -6.979922935 1.315028437
0.77 -1.387778781e-17 -1.665334537e-16 19.69541633 -6.952941225 1.313027755
0.78 0 -1.665334537e-16 19.56560265 -6.825747894 1.30437351
0.79 0 -1.665334537e-16 19.29994296 -6.563455312 1.286662864
0.8 2.775557562e-17 -1.665334537e-16 18.87379794 -6.138200511 1.258253196
0.81 1.387778781e-17 -1.942890293e-16 18.2921082 -5.556095325 1.21947388
0.82 0 -1.665334537e-16 17.59957152 -4.860407116 1.173304768
0.83 4.163336342e-17 -1.665334537e-16 16.87947627 -4.136130797 1.125298418
0.84 4.163336342e-17 -2.220446049e-16 16.27520754 -3.51839747 1.085013836
0.85 5.551115123e-17 -2.220446049e-16 16.02652284 -3.25278081 1.068434856
0.86 4.163336342e-17 -1.665334537e-16 16.35793901 -3.586664378 1.090529267
0.87 5.551115123e-17 -1.665334537e-16 17.21460262 -4.467624516 1.147640175
0.88 0 -1.665334537e-16 18.2480498 -5.520899199 1.216536653
0.89 4.163336342e-17 -1.665334537e-16 19.12358293 -6.398640586 1.274905528
0.9 4.163336342e-17 -1.665334537e-16 19.71439963 -6.98199542 1.314293309
0.91 4.163336342e-17 -1.387778781e-16 20.05113607 -7.309687883 1.336742405
0.92 5.551115123e-17 -1.387778781e-16 20.21473816 -7.466951754 1.34764921
0.93 4.163336342e-17 -1.665334537e-16 20.27885675 -7.528827232 1.351923783
0.94 5.551115123e-17 -1.110223025e-16 20.29515141 -7.542581342 1.353010094
0.95 4.163336342e-17 -1.387778781e-16 20.29575841 -7.541743582 1.353050561
0.96 6.938893904e-17 -1.665334537e-16 20.29920318 -7.544442155 1.353280212
0.97 9.714451465e-17 -1.387778781e-16 20.31515257 -7.561064141 1.354343505
0.98 9.714451465e-17 -1.665334537e-16 20.34751806 -7.593430492 1.356501204
0.99 4.163336342e-17 -1.665334537e-16 20.39626171 -7.642426784 1.359750781
1 8.326672685e-17 -1.942890293e-16 20.45815139 -7.70579387 1.363876759
1.01 6.938893904e-17 -1.942890293e-16 20.52682507 -7.775245552 1.368455005
1.02 6.938893904e-17 -1.942890293e-16 20.59249221 -7.842999938 1.372832814
1.03 6.938893904e-17 -2.220446049e-16 20.64147933 -7.894456525 1.376098622
1.04 5.551115123e-17 -1.942890293e-16 20.65595419 -7.91077444 1.377063613
1.05 8.326672685e-17 -2.498001805e-16 20.61463381 -7.871536675 1.374308921
1.06 4.163336342e-17 -2.220446049e-16 20.49537698 -7.754267031 1.366358466
1.07 1.110223025e-16 -1.942890293e-16 20.28079826 -7.5409583 1.352053217
1.08 9.714451465e-17 -2.498001805e-16 19.96780146 -7.22760795 1.331186764
1.09 1.110223025e-16 -2.775557562e-16 19.58044232 -6.837292652 1.305362821
1.1 8.326672685e-17 -2.775557562e-16 19.1820175 -6.432968239 1.278801167
1.11 1.249000903e-16 -3.053113318e-16 18.87504682 -6.118870616 1.258336454
1.12 1.249000903e-16 -3.053113318e-16 18.77124066 -6.010276526 1.251416044
1.13 1.387778781e-16 -3.60822483e-16 18.92813237 -6.171106604 1.261875492
1.14 1.387778781e-16 -3.330669074e-16 19.2932261 -6.548520787 1.286215074
1.15 1.249000903e-16 -2.775557562e-16 19.71050117 -6.980864426 1.314033411
1.16 1.387778781e-16 -3.053113318e-16 19.98574268 -7.267148743 1.332382846
1.17 1.387778781e-16 -2.775557562e-16 19.96722334 -7.253170421 1.331148223
1.18 1.249000903e-16 -3.747002708e-16 19.63875579 -6.914233032 1.309250386
1.19 1.942890293e-16 -3.469446952e-16 19.2219777 -6.467557816 1.28146518
1.2 1.665334537e-16 -3.400058013e-16 19.13265217 -6.357397532 1.275510144
1.21 1.387778781e-16 -3.6429193e-16 19.63538151 -6.873255688 1.309025434
1.22 1.526556659e-16 -3.226585665e-16 20.55764249 -7.822476234 1.370509499
1.23 1.387778781e-16 -3.122502257e-16 21.50645936 -8.783814202 1.433763958
1.24 8.326672685e-17 -2.498001805e-16 22.23040313 -9.505428106 1.482026876
1.25 1.665334537e-16 -2.983724379e-16 22.68783282 -9.955689565 1.512522188
1.26 1.387778781e-16 -3.400058013e-16 22.93619219 -10.19784657 1.529079479
1.27 1.665334537e-16 -2.91433544e-16 23.04318424 -10.30101827 1.536212283
1.28 2.220446049e-16 -3.330669074e-16 23.05565911 -10.31172887 1.53704394
1.29 1.665334537e-16 -3.122502257e-16 22.99820142 -10.25385616 1.533213428
1.3 1.387778781e-16 -3.053113318e-16 22.88091412 -10.13674667 1.525394275
1.31 1.110223025e-16 -3.261280135e-16 22.70978829 -9.965507571 1.513985886
1.32 1.387778781e-16 -2.844946501e-16 22.49942852 -9.752689923 1.499961902
1.33 1.526556659e-16 -2.983724379e-16 22.28731814 -9.536916435 1.485821209
1.34 1.942890293e-16 -3.60822483e-16 22.14132562 -9.385955599 1.476088375
1.35 1.942890293e-16 -2.91433544e-16 22.14189876 -9.383032969 1.476126584
1.36 1.665334537e-16 -3.365363543e-16 22.32876844 -9.574483733 1.488584563
1.37 1.804112415e-16 -3.226585665e-16 22.64246867 -9.899861855 1.509497912
1.38 1.769417945e-16 -2.957703527e-16 22.9147944 -10.18938822 1.52765296
1.39 1.838806885e-16 -3.239596091e-16 22.9215029 -10.21261825 1.528100193
1.4 1.682681772e-16 -3.426078865e-16 22.47057242 -9.771084931 1.498038161
1.41 2.038300084e-16 -3.321995456e-16 21.52766719 -8.815099919 1.435177812
1.42 1.405126016e-16 -3.348016309e-16 20.37490917 -7.624425422 1.358327278
1.43 1.374768355e-16 -2.931682674e-16 19.61774876 -6.831496859 1.307849917
1.44 1.266348137e-16 -3.139849492e-16 19.76675418 -6.989375949 1.317783612
1.45 1.903859015e-16 -2.341876693e-16 20.70882588 -7.976578355 1.380588392
1.46 1.916869441e-16 -2.91433544e-16 21.8219061 -9.122935496 1.45479374
1.47 1.804112415e-16 -3.191891196e-16 22.5590125 -9.864440195 1.503934167
1.48 2.177077962e-16 -3.261280135e-16 22.73885653 -10.03233975 1.515923768
1.49 2.046973702e-16 -3.191891196e-16 22.465819 -9.7382529 1.497721267
1.5 1.491862189e-16 -3.417405248e-16 21.98270344 -9.236322763 1.465513563
1.51 1.301042607e-16 -3.382710778e-16 21.5533303 -8.793018 1.436888687
1.52 1.335737077e-16 -3.27862737e-16 21.34803918 -8.587529333 1.423202612
