t vsx vsy Ekin Epot T 

0 -2.220446049e-16 2.220446049e-16 1500 -2.218261719 100
0.01 -2.220446049e-16 -2.220446049e-16 1500 -2.436268586 100
0.02 -2.220446049e-16 0 1500 -3.159865081 100
0.03 -2.220446049e-16 6.661338148e-16 1500 -4.626747982 100
0.04 -3.330669074e-16 8.881784197e-16 1500 0.6198001667 100
0.05 -2.220446049e-16 6.661338148e-16 1500 170.9574785 100
0.06 1.110223025e-16 7.771561172e-16 1500 157.0185936 100
0.07 4.163336342e-17 6.661338148e-16 1500 398.5581993 100
0.08 5.273559367e-16 3.330669074e-16 1500 -2.866594349 100
0.09 -3.330669074e-16 3.330669074e-16 1500 -7.074803382 100
0.1 -1.665334537e-16 1.110223025e-16 1500 -7.339773356 100
0.11 3.053113318e-16 1.110223025e-16 1500 -8.064510978 100
0.12 -2.220446049e-16 -4.440892099e-16 1500 552.8949587 100
0.13 2.092510193e-17 -8.712648658e-16 1500 1001064.796 100
0.14 -3.943057483e-17 -6.338024084e-16 1500 -8.070875549 100
0.15 -2.51534904e-17 -4.213751743e-16 1500 -8.072717736 100
0.16 -8.239936511e-18 -1.046688777e-15 1500 -8.078237708 100
0.17 -4.553649124e-18 -4.031063677e-16 1500 -8.087420811 100
0.18 -3.209238431e-17 -3.122502257e-16 1500 -8.100241978 100
0.19 -1.25767452e-17 6.078037379e-16 1500 -8.11666477 100
0.2 2.602085214e-18 8.500145032e-17 1500 -8.136639993 100
0.21 3.469446952e-18 -2.484991379e-16 1500 -8.160103893 100
0.22 -1.127570259e-17 2.658463727e-16 1500 -8.186975886 100
0.23 -8.67361738e-19 -1.000068084e-15 1500 -8.217155788 100
0.24 -1.734723476e-18 1.617629641e-16 1500 -8.25052051 100
0.25 5.204170428e-18 -5.637851297e-16 1500 -8.285944736 100
0.26 6.938893904e-18 -5.342948306e-16 1500 -8.325200059 100
0.27 1.040834086e-17 -9.645062526e-16 1500 -8.367091711 100
0.28 -2.428612866e-17 -8.283304598e-16 1500 -8.41135954 100
0.29 1.214306433e-17 -1.34267597e-15 1500 -8.457694452 100
0.3 3.903127821e-17 -1.654058834e-15 1500 -8.505731413 100
0.31 3.816391647e-17 -1.549975426e-15 1500 -8.555042349 100
0.32 4.510281038e-17 -1.190887666e-15 1500 -8.605129663 100
0.33 3.6429193e-17 -1.093743152e-15 1500 -8.653471392 100
0.34 5.637851297e-17 -1.823194373e-15 1500 -8.703336937 100
0.35 5.464378949e-17 -1.024354213e-15 1500 -8.752048345 100
0.36 3.295974604e-17 -1.465841337e-15 1500 -8.799821037 100
0.37 3.209238431e-17 -8.67361738e-16 1500 -8.843932896 100
0.38 4.423544864e-17 -1.087671619e-15 1500 -8.884647514 100
0.39 1.474514955e-17 -1.311450948e-15 1500 -8.921415043 100
0.4 3.556183126e-17 -4.909267437e-16 1500 -8.953991487 100
0.41 1.843143693e-17 -1.66706926e-15 1500 -8.983596233 100
0.42 2.07624716e-17 -1.448494102e-15 1500 -9.009204688 100
0.43 1.387778781e-17 -1.978452124e-15 1500 -9.033541045 100
0.44 4.380176777e-17 -1.41726908e-15 1500 -9.059246346 100
0.45 6.591949209e-17 -1.164866814e-15 1500 -9.090680569 100
0.46 3.035766083e-17 -2.034830637e-15 1500 -9.129631768 100
0.47 6.15826834e-17 -2.386112141e-15 1500 -9.180551028 100
0.48 7.632783294e-17 -2.203966176e-15 1500 -9.244970872 100
0.49 5.898059818e-17 -2.150189748e-15 1500 -9.325777078 100
0.5 3.816391647e-17 -2.231721752e-15 1500 -9.421061764 100
0.51 6.245004514e-17 -2.59514632e-15 1500 -9.528151497 100
0.52 3.816391647e-17 -2.118964726e-15 1500 -9.643081459 100
0.53 8.326672685e-17 -2.385244779e-15 1500 -9.761188534 100
0.54 4.857225733e-17 -2.386112141e-15 1500 -9.877630593 100
0.55 7.285838599e-17 -2.946427824e-15 1500 -9.987695718 100
0.56 4.163336342e-17 -3.048776509e-15 1500 -10.08688147 100
0.57 5.204170428e-17 -2.730454751e-15 1500 -10.17082236 100
0.58 7.979727989e-17 -2.641983854e-15 1500 -10.23520047 100
0.59 1.040834086e-16 -2.393918397e-15 1500 -10.27579556 100
0.6 9.714451465e-17 -2.400857291e-15 1500 -10.28882895 100
0.61 9.36750677e-17 -2.075596639e-15 1500 -10.27172339 100
0.62 1.006139616e-16 -2.641983854e-15 1500 -10.22430507 100
0.63 5.898059818e-17 -3.095614043e-15 1500 -10.15026515 100
0.64 8.67361738e-17 -2.636779683e-15 1500 -10.05837116 100
0.65 1.006139616e-16 -2.840609692e-15 1500 -9.962604217 100
0.66 7.979727989e-17 -2.753873518e-15 1500 -9.8794499 100
