t vsx vsy Ekin Epot T 

0 -2.220446049e-16 0 1500 -2.218261719 100
0.01 -3.330669074e-16 0 1500.212461 -2.436268586 100.014164
0.02 -3.330669074e-16 -2.220446049e-16 1500.964591 -3.159941485 100.0643061
0.03 -3.330669074e-16 -2.220446049e-16 1502.281608 -4.627357305 100.1521072
0.04 -4.440892099e-16 0 1489.7135 0.6511880579 99.31423335
0.05 -4.440892099e-16 6.661338148e-16 1452.76948 169.5078306 96.85129866
0.06 -3.330669074e-16 2.220446049e-16 1820.323343 149.2911956 121.3548896
0.07 -3.469446952e-16 0 3158.101243 608.8614756 210.5400829
0.08 -8.604228441e-16 -1.33226763e-15 9526.497708 -5.605918919 635.0998472
0.09 1.387778781e-16 -1.110223025e-15 9463.577023 -1.444617636 630.9051349
0.1 -1.776356839e-15 -8.881784197e-16 25179.18354 937.3102775 1678.612236
0.11 -4.387601393e-13 -8.437694987e-15 1.559532924e+10 758536.3199 1039688616
0.12 -2.000177801e-12 -2.26485497e-13 6.244990428e+10 5.433228926 4163326952
0.13 -1.307398634e-12 -9.094947018e-13 6.394862503e+10 258544.6255 4263241669
0.14 -1.051603249e-12 0 6.84487969e+10 8.861766486 4563253127
0.15 -8.816130048e-10 1.605258149e-09 2.825563511e+16 584750917.4 1.883709007e+15
0.16 -1.721957688e-09 2.328306437e-09 1.130224077e+17 1387.460753 7.534827179e+15
0.17 -7.090079635e-10 1.29602995e-09 1.130224078e+17 64574.72877 7.534827184e+15
0.18 -2.288345513e-09 2.751221473e-09 1.13022408e+17 259.3598356 7.534827199e+15
0.19 -2.042781944e-09 4.972207535e-09 1.130224083e+17 127382.1596 7.534827221e+15
0.2 -3.065053988e-09 1.185981091e-09 1.130224093e+17 133.4408331 7.534827287e+15
0.21 -1.531645921e-09 5.812580639e-09 1.1302271e+17 2961242.719 7.534847331e+15
0.22 -1.447972409e-09 -2.150045475e-09 1.130236119e+17 463.6596965 7.534907462e+15
0.23 -2.384751951e-09 2.264641807e-09 1.130236119e+17 -0.5438638066 7.534907462e+15
0.24 -1.729915766e-09 5.147740012e-10 1.130236119e+17 -0.1334174952 7.534907462e+15
0.25 -1.502542091e-09 3.20142135e-10 1.130236119e+17 -0.03346745022 7.534907462e+15
0.26 -1.555292783e-09 2.680280886e-09 1.130236119e+17 -0.01414207942 7.534907462e+15
0.27 -1.620776402e-09 -2.846718417e-10 1.130236119e+17 -0.0276465559 7.534907462e+15
0.28 -1.806313321e-09 1.210537448e-09 1.130236124e+17 152053.4368 7.534907495e+15
0.29 -1.50436108e-09 1.837179298e-09 1.130236139e+17 -0.007193744944 7.534907593e+15
0.3 -1.702630925e-09 1.882654033e-10 1.130236139e+17 -0.009329096136 7.534907593e+15
0.31 -2.055514869e-09 2.072738425e-09 1.130236139e+17 -0.006288300994 7.534907593e+15
0.32 -2.073704763e-09 3.288732842e-09 1.130236139e+17 -0.002697340862 7.534907593e+15
0.33 -1.884529865e-09 2.021806722e-09 1.130236139e+17 -0.0009853977686 7.534907593e+15
0.34 -1.264254479e-09 6.584741641e-10 1.130236139e+17 0 7.534907593e+15
0.35 -1.264254479e-09 6.584741641e-10 1.130236139e+17 0 7.534907593e+15
0.36 -1.264254479e-09 6.584741641e-10 1.130236139e+17 0 7.534907593e+15
0.37 -1.700811936e-09 3.268723958e-09 1.130236139e+17 -0.001467435295 7.534907593e+15
