# n      x1       x2       g1      g2      eps

110  1.49854  2.2991  -0.642264  -0.395908  1.9362
111  1.49851  2.29908  -0.642162  -0.395844  1.93613
112  1.49848  2.29907  -0.64206  -0.395781  1.93606
113  1.49846  2.29905  -0.641956  -0.395716  1.93599
114  1.49843  2.29903  -0.641852  -0.395651  1.93592
115  1.4984  2.29902  -0.641747  -0.395586  1.93585
116  1.49838  2.299  -0.641641  -0.39552  1.93577
117  1.49835  2.29898  -0.641534  -0.395453  1.9357
118  1.49832  2.29896  -0.641427  -0.395386  1.93563
119  1.49829  2.29895  -0.641318  -0.395318  1.93556
120  1.49826  2.29893  -0.641208  -0.39525  1.93548
121  1.49823  2.29891  -0.641098  -0.395181  1.93541
122  1.49821  2.29889  -0.640987  -0.395111  1.93533
123  1.49818  2.29888  -0.640874  -0.395041  1.93526
124  1.49815  2.29886  -0.640761  -0.394971  1.93518
125  1.49812  2.29884  -0.640647  -0.3949  1.9351
126  1.49809  2.29882  -0.640532  -0.394828  1.93503
127  1.49806  2.2988  -0.640416  -0.394756  1.93495
128  1.49803  2.29878  -0.6403  -0.394683  1.93487
129  1.498  2.29876  -0.640182  -0.39461  1.93479
130  1.49797  2.29875  -0.640064  -0.394536  1.93471
131  1.49793  2.29873  -0.639944  -0.394462  1.93463
132  1.4979  2.29871  -0.639824  -0.394387  1.93455
133  1.49787  2.29869  -0.639703  -0.394311  1.93447
134  1.49784  2.29867  -0.639581  -0.394235  1.93438
135  1.49781  2.29865  -0.639458  -0.394158  1.9343
136  1.49778  2.29863  -0.639334  -0.394081  1.93422
137  1.49774  2.29861  -0.63921  -0.394003  1.93413
138  1.49771  2.29859  -0.639084  -0.393925  1.93405
139  1.49768  2.29857  -0.638958  -0.393846  1.93396
140  1.49765  2.29855  -0.63883  -0.393767  1.93388
141  1.49761  2.29853  -0.638702  -0.393687  1.93379
142  1.49758  2.29851  -0.638573  -0.393607  1.93371
143  1.49754  2.29849  -0.638443  -0.393526  1.93362
144  1.49751  2.29847  -0.638312  -0.393444  1.93353
145  1.49748  2.29844  -0.63818  -0.393362  1.93344
146  1.49744  2.29842  -0.638048  -0.393279  1.93335
147  1.49741  2.2984  -0.637914  -0.393196  1.93326
148  1.49737  2.29838  -0.63778  -0.393112  1.93317
149  1.49734  2.29836  -0.637645  -0.393028  1.93308
150  1.4973  2.29834  -0.637508  -0.392943  1.93299
151  1.49727  2.29832  -0.637371  -0.392858  1.9329
152  1.49723  2.29829  -0.637234  -0.392772  1.93281
153  1.4972  2.29827  -0.637095  -0.392685  1.93271
154  1.49716  2.29825  -0.636955  -0.392598  1.93262
155  1.49712  2.29823  -0.636815  -0.392511  1.93252
156  1.49709  2.2982  -0.636673  -0.392422  1.93243
157  1.49705  2.29818  -0.636531  -0.392334  1.93233
158  1.49701  2.29816  -0.636388  -0.392244  1.93224
159  1.49698  2.29814  -0.636244  -0.392155  1.93214
160  1.49694  2.29811  -0.636099  -0.392064  1.93204
161  1.4969  2.29809  -0.635953  -0.391974  1.93195
162  1.49686  2.29807  -0.635807  -0.391882  1.93185
163  1.49682  2.29804  -0.635659  -0.39179  1.93175
164  1.49679  2.29802  -0.635511  -0.391698  1.93165
165  1.49675  2.29799  -0.635362  -0.391605  1.93155
166  1.49671  2.29797  -0.635211  -0.391511  1.93145
167  1.49667  2.29795  -0.63506  -0.391417  1.93135
168  1.49663  2.29792  -0.634909  -0.391323  1.93125
169  1.49659  2.2979  -0.634756  -0.391227  1.93114
170  1.49655  2.29787  -0.634602  -0.391132  1.93104
171  1.49651  2.29785  -0.634448  -0.391035  1.93094
172  1.49647  2.29782  -0.634293  -0.390939  1.93083
173  1.49643  2.2978  -0.634137  -0.390841  1.93073
174  1.49639  2.29777  -0.63398  -0.390743  1.93062
175  1.49635  2.29775  -0.633822  -0.390645  1.93052
176  1.49631  2.29772  -0.633663  -0.390546  1.93041
177  1.49627  2.2977  -0.633503  -0.390447  1.9303
178  1.49623  2.29767  -0.633343  -0.390347  1.9302
179  1.49618  2.29765  -0.633182  -0.390246  1.93009
180  1.49614  2.29762  -0.633019  -0.390145  1.92998
181  1.4961  2.2976  -0.632856  -0.390044  1.92987
182  1.49606  2.29757  -0.632693  -0.389941  1.92976
183  1.49602  2.29754  -0.632528  -0.389839  1.92965
184  1.49597  2.29752  -0.632362  -0.389736  1.92954
185  1.49593  2.29749  -0.632196  -0.389632  1.92943
186  1.49589  2.29746  -0.632029  -0.389528  1.92932
187  1.49584  2.29744  -0.63186  -0.389423  1.92921
188  1.4958  2.29741  -0.631691  -0.389318  1.92909
189  1.49576  2.29738  -0.631522  -0.389212  1.92898
190  1.49571  2.29736  -0.631351  -0.389105  1.92887
191  1.49567  2.29733  -0.631179  -0.388998  1.92875
192  1.49562  2.2973  -0.631007  -0.388891  1.92864
193  1.49558  2.29728  -0.630834  -0.388783  1.92852
194  1.49554  2.29725  -0.63066  -0.388675  1.92841
195  1.49549  2.29722  -0.630485  -0.388566  1.92829
196  1.49544  2.29719  -0.630309  -0.388456  1.92817
197  1.4954  2.29716  -0.630132  -0.388346  1.92806
198  1.49535  2.29714  -0.629955  -0.388235  1.92794
