# n      x1       x2       g1      g2      eps

0  -1.7  -1.9  0.324972  0.288396  15.7
1  -1.7  -1.9  0.324972  0.288396  15.7
2  -1.7  -1.9  0.32497  0.288395  15.7
3  -1.7  -1.9  0.324969  0.288393  15.7
4  -1.7  -1.9  0.324967  0.288391  15.7
5  -1.7  -1.9  0.324964  0.288389  15.7
6  -1.7  -1.9  0.324961  0.288386  15.7
7  -1.7  -1.9  0.324957  0.288383  15.7
8  -1.7  -1.9  0.324953  0.288379  15.7
9  -1.69999  -1.9  0.324948  0.288375  15.6999
10  -1.69999  -1.89999  0.324942  0.28837  15.6999
11  -1.69999  -1.89999  0.324936  0.288364  15.6999
12  -1.69999  -1.89999  0.32493  0.288359  15.6999
13  -1.69999  -1.89999  0.324923  0.288353  15.6999
14  -1.69999  -1.89999  0.324915  0.288346  15.6999
15  -1.69999  -1.89999  0.324907  0.288339  15.6998
16  -1.69998  -1.89999  0.324899  0.288331  15.6998
17  -1.69998  -1.89998  0.32489  0.288323  15.6998
18  -1.69998  -1.89998  0.32488  0.288314  15.6998
19  -1.69998  -1.89998  0.32487  0.288305  15.6998
20  -1.69997  -1.89998  0.324859  0.288296  15.6997
21  -1.69997  -1.89998  0.324848  0.288286  15.6997
22  -1.69997  -1.89997  0.324836  0.288275  15.6997
23  -1.69997  -1.89997  0.324823  0.288264  15.6996
24  -1.69996  -1.89997  0.32481  0.288253  15.6996
25  -1.69996  -1.89997  0.324797  0.288241  15.6996
26  -1.69996  -1.89996  0.324783  0.288228  15.6996
27  -1.69995  -1.89996  0.324768  0.288215  15.6995
28  -1.69995  -1.89996  0.324753  0.288202  15.6995
29  -1.69995  -1.89995  0.324738  0.288188  15.6994
30  -1.69994  -1.89995  0.324722  0.288174  15.6994
31  -1.69994  -1.89995  0.324705  0.288159  15.6994
32  -1.69994  -1.89994  0.324688  0.288144  15.6993
33  -1.69993  -1.89994  0.32467  0.288128  15.6993
34  -1.69993  -1.89994  0.324652  0.288111  15.6992
35  -1.69992  -1.89993  0.324633  0.288095  15.6992
36  -1.69992  -1.89993  0.324613  0.288078  15.6992
37  -1.69991  -1.89992  0.324594  0.28806  15.6991
38  -1.69991  -1.89992  0.324573  0.288042  15.6991
39  -1.69991  -1.89992  0.324552  0.288023  15.699
40  -1.6999  -1.89991  0.324531  0.288004  15.699
41  -1.6999  -1.89991  0.324509  0.287984  15.6989
42  -1.69989  -1.8999  0.324486  0.287964  15.6988
43  -1.69989  -1.8999  0.324463  0.287944  15.6988
44  -1.69988  -1.89989  0.324439  0.287923  15.6987
45  -1.69987  -1.89989  0.324415  0.287901  15.6987
46  -1.69987  -1.89988  0.32439  0.287879  15.6986
47  -1.69986  -1.89988  0.324365  0.287857  15.6986
48  -1.69986  -1.89987  0.324339  0.287834  15.6985
49  -1.69985  -1.89987  0.324313  0.287811  15.6984
50  -1.69985  -1.89986  0.324286  0.287787  15.6984
51  -1.69984  -1.89986  0.324259  0.287762  15.6983
52  -1.69983  -1.89985  0.324231  0.287738  15.6982
53  -1.69983  -1.89985  0.324202  0.287712  15.6982
54  -1.69982  -1.89984  0.324173  0.287687  15.6981
55  -1.69981  -1.89983  0.324144  0.28766  15.698
56  -1.69981  -1.89983  0.324114  0.287634  15.698
57  -1.6998  -1.89982  0.324083  0.287606  15.6979
58  -1.69979  -1.89982  0.324052  0.287579  15.6978
59  -1.69979  -1.89981  0.32402  0.287551  15.6977
60  -1.69978  -1.8998  0.323988  0.287522  15.6977
61  -1.69977  -1.8998  0.323955  0.287493  15.6976
62  -1.69976  -1.89979  0.323922  0.287464  15.6975
63  -1.69976  -1.89978  0.323888  0.287433  15.6974
64  -1.69975  -1.89978  0.323854  0.287403  15.6974
65  -1.69974  -1.89977  0.323819  0.287372  15.6973
66  -1.69973  -1.89976  0.323784  0.287341  15.6972
67  -1.69973  -1.89976  0.323748  0.287309  15.6971
68  -1.69972  -1.89975  0.323712  0.287276  15.697
69  -1.69971  -1.89974  0.323675  0.287244  15.6969
70  -1.6997  -1.89973  0.323637  0.28721  15.6968
71  -1.69969  -1.89973  0.323599  0.287176  15.6967
72  -1.69968  -1.89972  0.323561  0.287142  15.6967
73  -1.69967  -1.89971  0.323521  0.287108  15.6966
74  -1.69967  -1.8997  0.323482  0.287072  15.6965
75  -1.69966  -1.89969  0.323442  0.287037  15.6964
76  -1.69965  -1.89969  0.323401  0.287001  15.6963
77  -1.69964  -1.89968  0.32336  0.286964  15.6962
78  -1.69963  -1.89967  0.323318  0.286927  15.6961
79  -1.69962  -1.89966  0.323276  0.286889  15.696
80  -1.69961  -1.89965  0.323233  0.286851  15.6959
81  -1.6996  -1.89964  0.32319  0.286813  15.6958
82  -1.69959  -1.89964  0.323146  0.286774  15.6957
83  -1.69958  -1.89963  0.323102  0.286735  15.6956
84  -1.69957  -1.89962  0.323057  0.286695  15.6955
85  -1.69956  -1.89961  0.323011  0.286654  15.6954
86  -1.69955  -1.8996  0.322966  0.286614  15.6952
87  -1.69954  -1.89959  0.322919  0.286572  15.6951
88  -1.69953  -1.89958  0.322872  0.286531  15.695
89  -1.69952  -1.89957  0.322825  0.286489  15.6949
90  -1.69951  -1.89956  0.322777  0.286446  15.6948
91  -1.6995  -1.89955  0.322728  0.286403  15.6947
92  -1.69949  -1.89954  0.322679  0.286359  15.6946
93  -1.69947  -1.89953  0.322629  0.286315  15.6945
94  -1.69946  -1.89952  0.322579  0.286271  15.6943
95  -1.69945  -1.89951  0.322529  0.286226  15.6942
96  -1.69944  -1.8995  0.322478  0.28618  15.6941
97  -1.69943  -1.89949  0.322426  0.286134  15.694
98  -1.69942  -1.89948  0.322374  0.286088  15.6938
99  -1.6994  -1.89947  0.322321  0.286041  15.6937
100  -1.69939  -1.89946  0.322268  0.285994  15.6936
101  -1.69938  -1.89945  0.322214  0.285946  15.6935
102  -1.69937  -1.89944  0.32216  0.285898  15.6933
103  -1.69936  -1.89943  0.322105  0.285849  15.6932
104  -1.69934  -1.89942  0.32205  0.2858  15.6931
105  -1.69933  -1.89941  0.321994  0.285751  15.6929
106  -1.69932  -1.8994  0.321938  0.285701  15.6928
107  -1.69931  -1.89938  0.321881  0.28565  15.6927
108  -1.69929  -1.89937  0.321823  0.285599  15.6925
109  -1.69928  -1.89936  0.321766  0.285548  15.6924
110  -1.69927  -1.89935  0.321707  0.285496  15.6923
111  -1.69925  -1.89934  0.321648  0.285444  15.6921
112  -1.69924  -1.89933  0.321589  0.285391  15.692
113  -1.69923  -1.89931  0.321529  0.285338  15.6918
114  -1.69921  -1.8993  0.321468  0.285284  15.6917
115  -1.6992  -1.89929  0.321408  0.28523  15.6916
116  -1.69919  -1.89928  0.321346  0.285175  15.6914
117  -1.69917  -1.89927  0.321284  0.28512  15.6913
118  -1.69916  -1.89925  0.321222  0.285065  15.6911
119  -1.69914  -1.89924  0.321159  0.285009  15.691
120  -1.69913  -1.89923  0.321095  0.284952  15.6908
121  -1.69912  -1.89921  0.321031  0.284895  15.6907
122  -1.6991  -1.8992  0.320967  0.284838  15.6905
