# n      x1       x2       g1      g2      eps

118  -0.413136  -0.644197  137.489  162.976  4.70034
119  -0.409411  -0.641132  135.263  161.75  4.67975
120  -0.405718  -0.638074  133.077  160.536  4.65933
121  -0.402057  -0.635024  130.927  159.335  4.63907
122  -0.398427  -0.631981  128.815  158.145  4.61896
123  -0.394828  -0.628945  126.74  156.967  4.59901
124  -0.39126  -0.625917  124.699  155.8  4.57921
125  -0.387722  -0.622896  122.694  154.645  4.55956
126  -0.384215  -0.619882  120.723  153.501  4.54007
127  -0.380737  -0.616875  118.785  152.367  4.52072
128  -0.377289  -0.613876  116.881  151.245  4.50152
129  -0.373871  -0.610883  115.008  150.133  4.48247
130  -0.370482  -0.607898  113.168  149.031  4.46356
131  -0.367121  -0.60492  111.358  147.94  4.44479
132  -0.363789  -0.601949  109.579  146.858  4.42616
133  -0.360486  -0.598984  107.829  145.787  4.40767
134  -0.357211  -0.596027  106.109  144.725  4.38932
135  -0.353963  -0.593077  104.418  143.673  4.37111
136  -0.350743  -0.590133  102.755  142.631  4.35303
137  -0.347551  -0.587197  101.12  141.598  4.33509
138  -0.344385  -0.584267  99.5118  140.574  4.31727
139  -0.341247  -0.581344  97.9304  139.559  4.29959
140  -0.338135  -0.578428  96.3753  138.553  4.28204
141  -0.335049  -0.575518  94.8458  137.555  4.26461
142  -0.33199  -0.572616  93.3415  136.567  4.24732
143  -0.328956  -0.56972  91.8621  135.586  4.23015
144  -0.325949  -0.566831  90.407  134.615  4.2131
145  -0.322967  -0.563948  88.9757  133.651  4.19617
146  -0.32001  -0.561072  87.568  132.696  4.17937
147  -0.317078  -0.558203  86.1832  131.748  4.16269
148  -0.314171  -0.555341  84.8211  130.809  4.14613
149  -0.311289  -0.552485  83.4813  129.877  4.12969
150  -0.308431  -0.549636  82.1632  128.953  4.11336
151  -0.305597  -0.546793  80.8666  128.037  4.09715
152  -0.302788  -0.543957  79.591  127.128  4.08106
153  -0.300002  -0.541128  78.3361  126.226  4.06508
154  -0.29724  -0.538306  77.1016  125.331  4.04922
155  -0.294501  -0.53549  75.887  124.444  4.03346
156  -0.291786  -0.53268  74.6921  123.564  4.01782
157  -0.289094  -0.529878  73.5164  122.691  4.00229
158  -0.286424  -0.527082  72.3597  121.824  3.98687
159  -0.283777  -0.524292  71.2216  120.964  3.97155
160  -0.281153  -0.521509  70.1018  120.111  3.95634
161  -0.278551  -0.518733  69  119.265  3.94124
162  -0.275972  -0.515964  67.9159  118.425  3.92625
163  -0.273414  -0.513201  66.8492  117.591  3.91136
164  -0.270878  -0.510445  65.7995  116.764  3.89658
165  -0.268364  -0.507695  64.7667  115.943  3.88189
166  -0.265872  -0.504953  63.7504  115.128  3.86731
167  -0.2634  -0.502216  62.7503  114.319  3.85283
168  -0.26095  -0.499487  61.7662  113.516  3.83846
169  -0.258521  -0.496764  60.7978  112.719  3.82418
170  -0.256112  -0.494049  59.8448  111.928  3.81
171  -0.253725  -0.49134  58.9071  111.143  3.79592
172  -0.251358  -0.488637  57.9842  110.364  3.78194
173  -0.249011  -0.485942  57.0761  109.59  3.76805
174  -0.246684  -0.483253  56.1824  108.821  3.75426
175  -0.244378  -0.480571  55.3029  108.058  3.74057
176  -0.242091  -0.477896  54.4374  107.301  3.72697
177  -0.239824  -0.475228  53.5857  106.549  3.71346
178  -0.237577  -0.472567  52.7475  105.802  3.70005
179  -0.235349  -0.469912  51.9226  105.06  3.68673
180  -0.233141  -0.467265  51.1108  104.324  3.6735
181  -0.230952  -0.464625  50.3119  103.593  3.66037
182  -0.228782  -0.461991  49.5256  102.867  3.64732
183  -0.226631  -0.459365  48.7519  102.145  3.63437
184  -0.224498  -0.456746  47.9904  101.429  3.6215
185  -0.222385  -0.454134  47.241  100.718  3.60873
186  -0.220289  -0.451529  46.5035  100.011  3.59604
187  -0.218213  -0.448931  45.7777  99.3095  3.58344
188  -0.216154  -0.44634  45.0634  98.6125  3.57093
189  -0.214114  -0.443757  44.3605  97.9203  3.55851
190  -0.212091  -0.44118  43.6687  97.2326  3.54617
191  -0.210087  -0.438611  42.9878  96.5496  3.53391
192  -0.2081  -0.43605  42.3178  95.8711  3.52174
193  -0.206131  -0.433495  41.6584  95.1971  3.50966
194  -0.204179  -0.430948  41.0095  94.5275  3.49766
195  -0.202245  -0.428409  40.3709  93.8624  3.48574
196  -0.200328  -0.425877  39.7425  93.2016  3.47391
197  -0.198428  -0.423352  39.124  92.5451  3.46216
198  -0.196545  -0.420835  38.5154  91.893  3.45049
199  -0.194679  -0.418325  37.9164  91.245  3.4389
200  -0.19283  -0.415823  37.327  90.6013  3.4274
201  -0.190997  -0.413329  36.747  89.9617  3.41597
202  -0.189181  -0.410842  36.1762  89.3263  3.40463
203  -0.187382  -0.408363  35.6145  88.695  3.39336
204  -0.185599  -0.405891  35.0618  88.0677  3.38217
205  -0.183832  -0.403428  34.5178  87.4444  3.37107
206  -0.182081  -0.400972  33.9826  86.8251  3.36004
207  -0.180346  -0.398524  33.4559  86.2097  3.34909
208  -0.178627  -0.396084  32.9376  85.5983  3.33821
209  -0.176924  -0.393652  32.4276  84.9907  3.32741
210  -0.175236  -0.391227  31.9258  84.387  3.31669
211  -0.173564  -0.388811  31.432  83.7871  3.30605
212  -0.171907  -0.386403  30.9461  83.191  3.29548
213  -0.170266  -0.384003  30.4681  82.5986  3.28499
214  -0.16864  -0.38161  29.9976  82.01  3.27457
215  -0.167029  -0.379226  29.5348  81.425  3.26422
216  -0.165433  -0.376851  29.0794  80.8437  3.25395
217  -0.163852  -0.374483  28.6313  80.2661  3.24375
218  -0.162286  -0.372124  28.1904  79.6921  3.23363
219  -0.160734  -0.369773  27.7566  79.1216  3.22358
220  -0.159197  -0.36743  27.3298  78.5547  3.2136
221  -0.157675  -0.365095  26.9099  77.9914  3.2037
222  -0.156167  -0.362769  26.4968  77.4315  3.19386
223  -0.154673  -0.360452  26.0904  76.8751  3.1841
224  -0.153193  -0.358143  25.6906  76.3222  3.17441
225  -0.151728  -0.355842  25.2972  75.7727  3.16479
226  -0.150277  -0.35355  24.9102  75.2266  3.15523
227  -0.148839  -0.351266  24.5295  74.6839  3.14575
228  -0.147415  -0.348992  24.155  74.1446  3.13634
229  -0.146005  -0.346725  23.7865  73.6086  3.127
230  -0.144609  -0.344468  23.4241  73.0759  3.11772
231  -0.143226  -0.342219  23.0676  72.5465  3.10852
232  -0.141856  -0.339979  22.7168  72.0204  3.09938
233  -0.1405  -0.337747  22.3718  71.4975  3.09031
234  -0.139157  -0.335525  22.0325  70.9779  3.0813
235  -0.137827  -0.333311  21.6987  70.4615  3.07237
236  -0.13651  -0.331106  21.3704  69.9483  3.0635
237  -0.135206  -0.32891  21.0474  69.4382  3.0547
238  -0.133915  -0.326723  20.7297  68.9313  3.04596
239  -0.132636  -0.324545  20.4173  68.4276  3.03729
240  -0.131371  -0.322376  20.11  67.9269  3.02868
241  -0.130117  -0.320216  19.8078  67.4294  3.02014
242  -0.128877  -0.318065  19.5105  66.9349  3.01166
243  -0.127648  -0.315924  19.2182  66.4435  3.00325
244  -0.126432  -0.313791  18.9306  65.9552  2.9949
245  -0.125228  -0.311667  18.6478  65.4699  2.98661
246  -0.124036  -0.309553  18.3697  64.9876  2.97839
247  -0.122856  -0.307448  18.0963  64.5083  2.97023
248  -0.121688  -0.305352  17.8273  64.032  2.96213
249  -0.120532  -0.303265  17.5628  63.5586  2.95409
250  -0.119387  -0.301188  17.3027  63.0882  2.94612
251  -0.118255  -0.299119  17.0469  62.6207  2.9382
252  -0.117133  -0.297061  16.7954  62.1561  2.93035
253  -0.116023  -0.295011  16.5481  61.6945  2.92256
254  -0.114925  -0.292971  16.3049  61.2357  2.91483
255  -0.113837  -0.29094  16.0658  60.7798  2.90716
256  -0.112761  -0.288919  15.8306  60.3268  2.89955
257  -0.111696  -0.286907  15.5994  59.8766  2.892
258  -0.110642  -0.284904  15.3721  59.4292  2.88451
259  -0.109599  -0.282911  15.1486  58.9846  2.87707
260  -0.108567  -0.280928  14.9288  58.5429  2.8697
261  -0.107545  -0.278954  14.7127  58.1039  2.86238
262  -0.106534  -0.276989  14.5003  57.6677  2.85512
263  -0.105534  -0.275034  14.2914  57.2343  2.84792
264  -0.104544  -0.273089  14.0861  56.8036  2.84077
265  -0.103564  -0.271153  13.8842  56.3756  2.83368
266  -0.102595  -0.269226  13.6857  55.9504  2.82665
267  -0.101636  -0.267309  13.4906  55.5279  2.81968
268  -0.100687  -0.265402  13.2988  55.108  2.81276
269  -0.0997483  -0.263505  13.1102  54.6909  2.80589
270  -0.0988194  -0.261617  12.9248  54.2764  2.79908
271  -0.0979003  -0.259738  12.7426  53.8646  2.79233
272  -0.096991  -0.25787  12.5634  53.4554  2.78563
273  -0.0960915  -0.25601  12.3873  53.0488  2.77898
274  -0.0952015  -0.254161  12.2142  52.6449  2.77239
275  -0.0943211  -0.252321  12.044  52.2435  2.76585
276  -0.0934501  -0.250491  11.8767  51.8448  2.75936
277  -0.0925884  -0.248671  11.7123  51.4486  2.75293
278  -0.0917361  -0.24686  11.5507  51.0551  2.74655
279  -0.090893  -0.245059  11.3918  50.664  2.74022
280  -0.0900589  -0.243267  11.2357  50.2755  2.73394
281  -0.0892339  -0.241485  11.0822  49.8896  2.72772
282  -0.0884179  -0.239713  10.9313  49.5062  2.72154
283  -0.0876107  -0.237951  10.7831  49.1253  2.71542
