# n      x1       x2       g1      g2

144  -0.325949  -0.566831  90.407  134.615
145  -0.322967  -0.563948  88.9757  133.651
146  -0.32001  -0.561072  87.568  132.696
147  -0.317078  -0.558203  86.1832  131.748
148  -0.314171  -0.555341  84.8211  130.809
149  -0.311289  -0.552485  83.4813  129.877
150  -0.308431  -0.549636  82.1632  128.953
151  -0.305597  -0.546793  80.8666  128.037
152  -0.302788  -0.543957  79.591  127.128
153  -0.300002  -0.541128  78.3361  126.226
154  -0.29724  -0.538306  77.1016  125.331
155  -0.294501  -0.53549  75.887  124.444
156  -0.291786  -0.53268  74.6921  123.564
157  -0.289094  -0.529878  73.5164  122.691
158  -0.286424  -0.527082  72.3597  121.824
159  -0.283777  -0.524292  71.2216  120.964
160  -0.281153  -0.521509  70.1018  120.111
161  -0.278551  -0.518733  69  119.265
162  -0.275972  -0.515964  67.9159  118.425
163  -0.273414  -0.513201  66.8492  117.591
164  -0.270878  -0.510445  65.7995  116.764
165  -0.268364  -0.507695  64.7667  115.943
166  -0.265872  -0.504953  63.7504  115.128
167  -0.2634  -0.502216  62.7503  114.319
168  -0.26095  -0.499487  61.7662  113.516
169  -0.258521  -0.496764  60.7978  112.719
170  -0.256112  -0.494049  59.8448  111.928
171  -0.253725  -0.49134  58.9071  111.143
172  -0.251358  -0.488637  57.9842  110.364
173  -0.249011  -0.485942  57.0761  109.59
174  -0.246684  -0.483253  56.1824  108.821
175  -0.244378  -0.480571  55.3029  108.058
176  -0.242091  -0.477896  54.4374  107.301
177  -0.239824  -0.475228  53.5857  106.549
178  -0.237577  -0.472567  52.7475  105.802
179  -0.235349  -0.469912  51.9226  105.06
180  -0.233141  -0.467265  51.1108  104.324
181  -0.230952  -0.464625  50.3119  103.593
182  -0.228782  -0.461991  49.5256  102.867
183  -0.226631  -0.459365  48.7519  102.145
184  -0.224498  -0.456746  47.9904  101.429
185  -0.222385  -0.454134  47.241  100.718
186  -0.220289  -0.451529  46.5035  100.011
187  -0.218213  -0.448931  45.7777  99.3095
188  -0.216154  -0.44634  45.0634  98.6125
189  -0.214114  -0.443757  44.3605  97.9203
190  -0.212091  -0.44118  43.6687  97.2326
191  -0.210087  -0.438611  42.9878  96.5496
192  -0.2081  -0.43605  42.3178  95.8711
193  -0.206131  -0.433495  41.6584  95.1971
